year,monthreported,category,dayofweek,timeofday,location,bikebrand,lock,registered,propertyvalue
10,November,theft bicycle,Monday,0800-1600,SANTA CATALINA,Trek,U-Lock,No,380
10,October,theft bicycle,Monday,1600-2400,CAMPBELL HALL,Fat Cycles,U-Lock,No,420
10,February,theft bicycle,Saturday,0800-1600,LOT 32,Unknown,Not Locked,No,50
10,March,theft bicycle,Saturday,1600-2400,STUDENT RESOURCE BLDG.,Ocean Pacific,U-Lock,No,155
10,October,theft bicycle,Saturday,2400-0800,STORKEHOUSING,Specialized,U-Lock,No,170
10,October,theft bicycle,Saturday,2400-0800,SANTA CATALINA,Sovereign,Cable Lock,Yes,175
10,January,theft bicycle,Saturday,1600-2400,"RINCON HOUSE, MANZANITA",VBS,U-Lock,Yes,176
10,February,theft bicycle,Saturday,0800-1600,"PENDOLA, LOS ROBLES QUAD",Unknown,U-Lock,No,215
10,January,theft bicycle,Saturday,1600-2400,MANZANITA VILLAGE,Schwinn,Not Locked,Yes,225
10,April,theft bicycle,Saturday,1600-2400,SANTA CATALINA,Unknown,U-Lock,No,240
10,November,theft bicycle,Saturday,1600-2400,EVENT CENTER,Gary Fisher,Not listed,Yes,500
10,May,theft bicycle,Sunday,Unknown,SANTA CATALINA,Raleigh,Cable Lock,No,120
10,December,theft bicycle,Sunday,2400-0800,STORKE FAMILY HOUSING,Austro-Daimler,Not Locked,No,150
10,April,theft bicycle,Sunday,2400-0800,TECOLOTE,Sekai,Not Locked,Yes,150
10,January,theft bicycle,Sunday,1600-2400,ROBERTSON GYM,Dynoglide,Cable Lock,Yes,170
10,October,theft bicycle,Sunday,0800-1600,ROB GYM,Urban,U-Lock,Yes,210
10,May,theft bicycle,Sunday,0800-1600,SAN RAFAEL,Schwinn,Cable Lock,Yes,240
10,October,theft bicycle,Sunday,1600-2400,STUDENT RESOURCES BLDG.,Electra,U-Lock,Yes,300
10,March,theft bicycle,Sunday,2400-0800,ARTS,Tommanso Tiemdo,U-Lock,No,410
10,November,theft bicycle,Sunday,2400-0800,SANTA CRUZ,Trek,U-Lock,Yes,550
10,May,theft bicycle,Sunday,2400-0800,MUSIC,DiamondBack,Cable Lock,Yes,600
10,November,theft bicycle,Sunday,1600-2400,DAVIDSON LIBRARY,Specialized,Combo,No,1220
10,October,theft bicycle,Thursday,2400-0800,SAN RAFAEL,Unknown,Not Locked,Yes,20
10,February,theft bicycle,Thursday,1600-2400,PSB NORTH,Motiv,Not Locked,Yes,50
10,June,theft bicycle,Thursday,0800-1600,BROIDA,DiamondBack,U-Lock,No,75
10,March,theft bicycle,Thursday,Unknown,KERR HALL,Zeus,Not Locked,No,80
10,April,theft bicycle,Thursday,Unknown,HSSB,Unknown,U-Lock,No,86
10,May,theft bicycle,Thursday,0800-1600,CARRILLO DINING COMMONS,Huffy,Cable Lock,Yes,90
10,January,theft bicycle,Thursday,1600-2400,SANTA CATALINA,Huffy,U-Lock,Yes,90
10,April,theft bicycle,Thursday,0800-1600,RECCEN,Unknown,U-Lock,No,92
10,April,theft bicycle,Thursday,1600-2400,CAMPBELL,M-1,Cable Lock,Yes,95
10,June,theft bicycle,Thursday,1600-2400,EMBARCADERO HALL,Schwinn,Not listed,No,100
10,May,theft bicycle,Thursday,0800-1600,DAVIDSON LIBRARY,Schwinn,Cable Lock,Yes,120
10,May,theft bicycle,Thursday,2400-0800,"JAMALA, MANZANITA",Next,Chain Lock,Yes,123
10,July,theft bicycle,Thursday,0800-1600,CAMPBELL HALL,Trek,Cable Lock,No,130
10,January,theft bicycle,Thursday,1600-2400,DAVIDSON LIBRARY,Firmstrong,Not Locked,Yes,150
10,March,theft bicycle,Thursday,0800-1600,HSSB,Phat,U-Lock,Yes,190
10,December,theft bicycle,Thursday,Unknown,SANTA CATALINA,Giant,Cable Lock,Yes,200
10,December,theft bicycle,Thursday,1600-2400,KERR,Urban,U-Lock,Yes,200
10,May,theft bicycle,Thursday,1600-2400,PHELPS,Firmstrong,U-Lock,Yes,220
10,April,theft bicycle,Thursday,0800-1600,HSSB,Trek,Cable Lock,No,310
10,July,theft bicycle,Thursday,0800-1600,PSB SOUTH,Peugeot,Cable Lock,No,320
10,November,theft bicycle,Thursday,1600-2400,DAVIDSON LIBRARY,Schwinn,Cable Lock,No,325
10,April,theft bicycle,Thursday,0800-1600,CHEMISTRY,Kona,Cable Lock,Yes,400
10,March,theft bicycle,Thursday,1600-2400,DAVIDSON LIBRARY,Schwinn,Not Locked,No,500
10,June,theft bicycle,Thursday,1600-2400,ENGI,Kline,Not Locked,No,1500
10,May,theft bicycle,Tuesday,1600-2400,EVENTS CENTER,Schwinn,Not Locked,Yes,100
10,April,theft bicycle,Tuesday,0800-1600,SANTA CRUZ,Motobecane,U-Lock,Yes,110
10,June,theft bicycle,Tuesday,1600-2400,DAVIDSON LIBRARY,Nishiki,Chain Lock,No,120
10,October,theft bicycle,Tuesday,2400-0800,SANTA CATALINA,Cruiser King,Not Locked,Yes,140
10,January,theft bicycle,Tuesday,2400-0800,TECOLOTE HOUSE,Huffy,Cable Lock,No,170
10,October,theft bicycle,Tuesday,0800-1600,THEATRE & DANCE,Sun,U-Lock,Yes,200
10,February,theft bicycle,Tuesday,1600-2400,CNSI,Schwinn,U-Lock,No,220
10,October,theft bicycle,Tuesday,2400-0800,LIBRARY,Drift,U-Lock,No,285
10,March,theft bicycle,Tuesday,1600-2400,LIBRARY,Schwinn,Cable Lock,No,320
10,November,theft bicycle,Tuesday,2400-0800,DAVIDSON LIBRARY,Raleigh,U-Lock,No,320
10,October,theft bicycle,Tuesday,0800-1600,DAVIDSON LIBRARY,Unknown,U-Lock,No,350
10,May,theft bicycle,Tuesday,0800-1600,CAMPBELL HALL,Motobecane,U-Lock,Yes,395
10,February,theft bicycle,Tuesday,0800-1600,SRB,Bianchi,U-Lock,No,670
10,February,theft bicycle,Tuesday,0800-1600,RECREATION CENTER,Hybrid,Cable Lock,No,715
10,September,theft bicycle,Tuesday,0800-1600,LOT 6,Specialized,Not Locked,Yes,850
10,October,theft bicycle,Unknown,Unknown,STUDENT RESOURCE BUILDING,Unknown,Not listed,No,40
10,September,theft bicycle,Unknown,Unknown,ARROWHEAD VILLAGE,Mountain View,U-Lock,No,50
10,May,theft bicycle,Unknown,Unknown,STORKEHOUSING,Unknown,U-Lock,No,50
10,December,theft bicycle,Unknown,Unknown,SAN RAFAEL,Vital,Not Locked,Yes,50
10,December,theft bicycle,Unknown,Unknown,SANTA CATALINA,Unknown,Cable Lock,No,60
10,June,theft bicycle,Unknown,Unknown,ARROWHEAD VILLAGE,Classic,Not listed,No,60
10,November,theft bicycle,Unknown,Unknown,"GAYLEY WALK, WEST CAMPUS FAMILY HOUSING",Diamond,Not Locked,No,60
10,October,theft bicycle,Unknown,Unknown,SAN RAFAEL,Huffy,U-Lock,Yes,60
10,February,theft bicycle,Unknown,Unknown,SANTA CATALINA,Murray,U-Lock,Yes,62
10,February,theft bicycle,Unknown,Unknown,BUS LOOP,Magna,Cable Lock,Yes,70
10,November,theft bicycle,Unknown,Unknown,ANACAPA,Huffy,U-Lock,Yes,70
10,September,theft bicycle,Unknown,Unknown,SANTA ROSA,Pacific,U-Lock,Yes,75
10,September,theft bicycle,Unknown,Unknown,BROIDA,Next,Cable Lock,Yes,80
10,April,theft bicycle,Unknown,Unknown,BUS LOOP,Huffy,Cable Lock,Yes,90
10,February,theft bicycle,Unknown,Unknown,PARKING LOT 2,American Flyer,Not Locked,Yes,90
10,October,theft bicycle,Unknown,Unknown,SANTA CATALINA,Huffy,U-Lock,Yes,90
10,April,theft bicycle,Unknown,Unknown,SOUTH HALL,Urban,U-Lock,Yes,90
10,July,theft bicycle,Unknown,Unknown,DAVIDSON LIBRARY,Trek,Cable Lock,No,95
10,May,theft bicycle,Unknown,Unknown,SAN RAFAEL,Firmstrong,Cable Lock,Yes,95
10,August,theft bicycle,Unknown,Unknown,DAVIDSON LIBRARY,Roadmaster,Cable Lock,Yes,95
10,March,theft bicycle,Unknown,Unknown,ARROWHEAD VILAGE,Centurian,Cable Lock,No,100
10,December,theft bicycle,Unknown,Unknown,SANTA CATALINA,Diamondback,Not listed,No,100
10,October,theft bicycle,Unknown,Unknown,STORKEHOUSING,Centurion,Not Locked,No,100
10,October,theft bicycle,Unknown,Unknown,SANTA CATALINA,Electra,Cable Lock,Yes,100
10,February,theft bicycle,Unknown,Unknown,SANTA CATALINA,Firmstrong,Not listed,Yes,100
10,March,theft bicycle,Unknown,Unknown,SANTA CATALINA,Hyper,Padlock,Yes,100
10,December,theft bicycle,Unknown,Unknown,SAN MIGUEL,Huffy,U-Lock,Yes,100
10,April,theft bicycle,Unknown,Unknown,SANTA CATALINA,Huffy,U-Lock,Yes,100
10,October,theft bicycle,Unknown,Unknown,ANACAPA,Se,U-Lock,Yes,100
10,May,theft bicycle,Unknown,Unknown,SRB,Unknown,U-Lock,No,105
10,January,theft bicycle,Unknown,Unknown,WESTGATE APTS.,Huffy,Cable Lock,No,110
10,October,theft bicycle,Unknown,Unknown,"LA CUMBRE, LA PATERA",DeLaCruz,Cable Lock,Yes,110
10,February,theft bicycle,Unknown,Unknown,LIBRARY,Micargi,Cable Lock,Yes,110
10,May,theft bicycle,Unknown,Unknown,SANTA CATALINA,Schwinn,Cable Lock,Yes,110
10,June,theft bicycle,Unknown,Unknown,SAN RAFAEL,Micargi,U-Lock,Yes,110
10,July,theft bicycle,Unknown,Unknown,SANTA CRUZ,Unknown,Not Locked,Yes,112
10,January,theft bicycle,Unknown,Unknown,SANTA CATALINA,Huffy,U-Lock,Yes,112
10,February,theft bicycle,Unknown,Unknown,SANTA ROSA,Micargi,U-Lock,Yes,112
10,February,theft bicycle,Unknown,Unknown,SANTA CATALINA,Free Agent,U-Lock,Yes,115
10,March,theft bicycle,Unknown,Unknown,"MADULCE, LOS ROBLES QUAD",Micargi,U-Lock,Yes,115
10,April,theft bicycle,Unknown,Unknown,SANTA CATALINA,GT,Cable Lock,No,120
10,June,theft bicycle,Unknown,Unknown,CARRILLO,Trek,Cable Lock,No,120
10,February,theft bicycle,Unknown,Unknown,SRB,Next,Cable Lock,Yes,120
10,October,theft bicycle,Unknown,Unknown,SANTA YNEZ APT.,Road Master,Cable Lock,Yes,120
10,May,theft bicycle,Unknown,Unknown,SANTA CRUZ RACKS,Huffy,Chain Lock,Yes,120
10,November,theft bicycle,Unknown,Unknown,SAN NICOLAS,Huffy,U-Lock,Yes,120
10,May,theft bicycle,Unknown,Unknown,SANTA ROSA RACKS,Pacific,U-Lock,Yes,120
10,February,theft bicycle,Unknown,Unknown,SANTA CRUZ,Next,Cable Lock,Yes,125
10,September,theft bicycle,Unknown,Unknown,SANTA ROSA,Phat,Cable Lock,Yes,125
10,May,theft bicycle,Unknown,Unknown,UCEN,Magna,U-Lock,Yes,125
10,April,theft bicycle,Unknown,Unknown,SAN NICOLAS,Next,U-Lock,Yes,125
10,January,theft bicycle,Unknown,Unknown,BREN SCHOOL,Unknown,U-Lock,Yes,125
10,June,theft bicycle,Unknown,Unknown,ANACAPA,Trek,U-Lock,Yes,130
10,November,theft bicycle,Unknown,Unknown,SAASB NORTH,Univega,Cable Lock,Yes,135
10,October,theft bicycle,Unknown,Unknown,ANACAPA,Huffy,U-Lock,Yes,135
10,March,theft bicycle,Unknown,Unknown,ZACA HOUSE,Unknown,U-Lock,No,140
10,September,theft bicycle,Unknown,Unknown,THEATRE & DANCE,Micargi,U-Lock,Yes,140
10,February,theft bicycle,Unknown,Unknown,ANACAPA,Micargi,Cable Lock,Yes,145
10,April,theft bicycle,Unknown,Unknown,SANTA CATALINA,Firmstrong,Chain Lock,Yes,145
10,May,theft bicycle,Unknown,Unknown,SANTA ROSA,Iron Horse,Not listed,No,150
10,August,theft bicycle,Unknown,Unknown,BOLTON WALK,Huffy,Not Locked,No,150
10,November,theft bicycle,Unknown,Unknown,EASTGATE,Huffy,Cable Lock,Yes,150
10,February,theft bicycle,Unknown,Unknown,LIBRARY,Micargi,Cable Lock,Yes,150
10,November,theft bicycle,Unknown,Unknown,SANTA YNEZ APT.,Draft,U-Lock,Yes,150
10,June,theft bicycle,Unknown,Unknown,SAN MIGUEL,Nishiki,U-Lock,Yes,150
10,January,theft bicycle,Unknown,Unknown,DELAGUERRA,Schwinn,U-Lock,Yes,150
10,August,theft bicycle,Unknown,Unknown,UCEN,Schwinn,U-Lock,Yes,150
10,May,theft bicycle,Unknown,Unknown,SANTA CATALINA,Firmstrong,Cable Lock,No,160
10,November,theft bicycle,Unknown,Unknown,Q3,Gary Fisher,Cable Lock,Yes,160
10,April,theft bicycle,Unknown,Unknown,SANTA CATALINA,Firmstrong,Cable Lock,Yes,165
10,February,theft bicycle,Unknown,Unknown,Q3,Micargi,Cable Lock,Yes,165
10,October,theft bicycle,Unknown,Unknown,NORTH HALL,Shimano,U-Lock,Yes,165
10,November,theft bicycle,Unknown,Unknown,SANTA CATALINA,Firmstrong,Not Locked,Yes,170
10,September,theft bicycle,Unknown,Unknown,SANTA YNEZ APT.,Micargi,U-Lock,Yes,170
10,May,theft bicycle,Unknown,Unknown,SAN NIC,Peugeot,U-Lock,Yes,170
10,January,theft bicycle,Unknown,Unknown,ANACAPA HALL,Firmstrong,U-Lock,Yes,171
10,July,theft bicycle,Unknown,Unknown,SANTA CATALINA,Roadmaster,Cable Lock,Yes,175
10,August,theft bicycle,Unknown,Unknown,SAN NICOLAS,Mongoose,Cable Lock,Yes,180
10,May,theft bicycle,Unknown,Unknown,DONNER,Urban,Cable Lock,Yes,180
10,February,theft bicycle,Unknown,Unknown,SANTA YNEZ,Schwinn,Not Locked,Yes,180
10,January,theft bicycle,Unknown,Unknown,CUYAMA HOUSE,Micargi,U-Lock,Yes,180
10,June,theft bicycle,Unknown,Unknown,SAN MIGUEL,Firmstrong,U-Lock,No,190
10,April,theft bicycle,Unknown,Unknown,SANTA CATALINA,Schwinn,U-Lock,Yes,190
10,October,theft bicycle,Unknown,Unknown,CHEMISTRY,Schwinn,Cable Lock,No,200
10,May,theft bicycle,Unknown,Unknown,EVENTS CENTER,3G,U-Lock,No,200
10,June,theft bicycle,Unknown,Unknown,EL DORADO,Giant,U-Lock,No,200
10,September,theft bicycle,Unknown,Unknown,SAN RAFAEL,Raleigh,U-Lock,No,200
10,May,theft bicycle,Unknown,Unknown,SANTA CATALINA,Firmstrong,Cable Lock,Yes,200
10,October,theft bicycle,Unknown,Unknown,SANTA CATALINA,Firmstrong,Cable Lock,Yes,200
10,February,theft bicycle,Unknown,Unknown,"TECOLOTE, LAS ENCINAS QUAD",Diamondback,Chain Lock,Yes,200
10,May,theft bicycle,Unknown,Unknown,SANTA CATALINA,Diamondback,Not listed,Yes,200
10,June,theft bicycle,Unknown,Unknown,SAN RAFAEL,Raleigh,Not listed,Yes,200
10,June,theft bicycle,Unknown,Unknown,SANTA YNEZ,SE,Not listed,Yes,200
10,November,theft bicycle,Unknown,Unknown,SAN RAFAEL,Unknown,Not listed,Yes,200
10,February,theft bicycle,Unknown,Unknown,SANTA CRUZ,Electra,Not Locked,Yes,200
10,January,theft bicycle,Unknown,Unknown,SAN MIGUEL,Huffy,Not Locked,Yes,200
10,February,theft bicycle,Unknown,Unknown,SAN RAFAEL,Schwinn,Not Locked,Yes,200
10,November,theft bicycle,Unknown,Unknown,SANTA CATALINA,Giant,U-Lock,Yes,200
10,June,theft bicycle,Unknown,Unknown,SANTA CATALINA,Micargi,U-Lock,Yes,200
10,March,theft bicycle,Unknown,Unknown,SANTA CATALINA,Phat,U-Lock,Yes,200
10,February,theft bicycle,Unknown,Unknown,SAN NICOLAS,3G,U-Lock,Yes,205
10,September,theft bicycle,Unknown,Unknown,SAN NICOLAS,Flyer,U-Lock,Yes,205
10,April,theft bicycle,Unknown,Unknown,SAN MIGUEL,Schwinn,U-Lock,No,208
10,February,theft bicycle,Unknown,Unknown,HSSB,Firmstrong,U-Lock,No,210
10,June,theft bicycle,Unknown,Unknown,"MIRANDA, LAS ENCINAS",Schwinn,U-Lock,Yes,210
10,March,theft bicycle,Unknown,Unknown,ANACAPA,Schwinn,Cable Lock,No,215
10,March,theft bicycle,Unknown,Unknown,SAN CLEMENTE,Trek,U-Lock,No,215
10,February,theft bicycle,Unknown,Unknown,SRB,Urban,U-Lock,No,215
10,June,theft bicycle,Unknown,Unknown,BUS LOOP,Sun,Cable Lock,Yes,215
10,September,theft bicycle,Unknown,Unknown,SAN RAFAEL,Motobecane,Cable Lock,No,220
10,June,theft bicycle,Unknown,Unknown,SANTA YNEZ APTS.,Schwinn,U-Lock,No,220
10,May,theft bicycle,Unknown,Unknown,SANTA CATALINA,Mongoose,Cable Lock,Yes,220
10,November,theft bicycle,Unknown,Unknown,NORTH HALL,Firmstrong,U-Lock,Yes,220
10,November,theft bicycle,Unknown,Unknown,SAN NICOLAS,Firmstrong,U-Lock,Yes,220
10,January,theft bicycle,Unknown,Unknown,SANTA CATALINA,Schwinn,U-Lock,Yes,220
10,September,theft bicycle,Unknown,Unknown,SAN MIGUEL,Schwinn,U-Lock,No,225
10,March,theft bicycle,Unknown,Unknown,SANTA ROSA,Gary Fisher,U-Lock,Yes,225
10,January,theft bicycle,Unknown,Unknown,SAN RAFAEL HALL,Urban,U-Lock,No,230
10,April,theft bicycle,Unknown,Unknown,SANTA ROSA,Draft,U-Lock,No,260
10,June,theft bicycle,Unknown,Unknown,SANTA CATALINA,Fuji,U-Lock,Yes,260
10,March,theft bicycle,Unknown,Unknown,DAVIDSON LIBRARY,Trek,U-Lock,No,270
10,July,theft bicycle,Unknown,Unknown,SANTA CATALINA,Unknown,U-Lock,No,270
10,October,theft bicycle,Unknown,Unknown,SAN RAFAEL,Firmstrong,Cable Lock,Yes,270
10,May,theft bicycle,Unknown,Unknown,SANTA ROSA,Firmstrong,U-Lock,Yes,270
10,April,theft bicycle,Unknown,Unknown,WEST CAMPUS HOUSING,Giant,U-Lock,No,280
10,September,theft bicycle,Unknown,Unknown,DELAGUERRA COMMONS,Firmstrong,U-Lock,Yes,285
10,October,theft bicycle,Unknown,Unknown,SANTA ROSA,Micargi,U-Lock,Yes,285
10,September,theft bicycle,Unknown,Unknown,SANTA ROSA,Specialized,Cable Lock,Yes,300
10,April,theft bicycle,Unknown,Unknown,LOT 38,Schwinn,U-Lock,Yes,300
10,April,theft bicycle,Unknown,Unknown,SANTA CATALINA,SE,U-Lock,Yes,300
10,June,theft bicycle,Unknown,Unknown,SANTA ROSA,Unknown,Cable Lock,No,310
10,March,theft bicycle,Unknown,Unknown,SAN CLEMENTE,Diamondback,U-Lock,No,315
10,November,theft bicycle,Unknown,Unknown,"PENDOLA, LOS ROBLES QUAD",Fuji,Cable Lock,Yes,315
10,February,theft bicycle,Unknown,Unknown,"ZACA HOUSE, MANZANITA",Greenline,Cable Lock,Yes,315
10,February,theft bicycle,Unknown,Unknown,SAN MIGUEL,GT,U-Lock,Yes,315
10,June,theft bicycle,Unknown,Unknown,SANTA YNEZ,Fixie,U-Lock,No,320
10,January,theft bicycle,Unknown,Unknown,HSSB,Giant,Cable Lock,Yes,320
10,October,theft bicycle,Unknown,Unknown,SANTA CATALINA,Laguna,Cable Lock,Yes,325
10,October,theft bicycle,Unknown,Unknown,ORTEGA COMMONS,phat,U-Lock,Yes,330
10,November,theft bicycle,Unknown,Unknown,DAVIDSON LIBRARY,GT,U-Lock,Yes,340
10,February,theft bicycle,Unknown,Unknown,SANTA CATALINA,Specialized,U-Lock,Yes,420
10,February,theft bicycle,Unknown,Unknown,ARTS,Centurian,Cable Lock,No,425
10,March,theft bicycle,Unknown,Unknown,SANTA CATALINA,Electra,U-Lock,Yes,430
10,April,theft bicycle,Unknown,Unknown,SANTA ROSA,Electra,U-Lock,Yes,440
10,September,theft bicycle,Unknown,Unknown,STORKEHOUSING,Cannondale,Cable Lock,No,450
10,May,theft bicycle,Unknown,Unknown,SANTA CATALINA,Giant,U-Lock,Yes,450
10,October,theft bicycle,Unknown,Unknown,"FIGUEROA, LOS ROBLES QUAD",Trek,Cable Lock,Yes,485
10,May,theft bicycle,Unknown,Unknown,"MADULCE, LOS ROBLES",Trek,Cable Lock,No,505
10,November,theft bicycle,Unknown,Unknown,SANTA YNEZ,Trek,Cable Lock,No,560
10,October,theft bicycle,Unknown,Unknown,SANTA ROSA,Peugeot,U-Lock,Yes,560
10,May,theft bicycle,Unknown,Unknown,UCPD IMPOUND YARD,Specialized,Not Locked,No,600
10,September,theft bicycle,Unknown,Unknown,CYPRESS WALK,Cannondale,Cable Lock,Yes,800
10,February,theft bicycle,Unknown,Unknown,SANTA CATALINA,Trek,Cable Lock,Yes,825
10,July,theft bicycle,Unknown,Unknown,SANTA CRUZ,Specialized,U-Lock,No,925
10,June,theft bicycle,Unknown,Unknown,"SAN CLEMENTE, ENCINO",Giant,Cable Lock,No,1000
10,March,theft bicycle,Unknown,Unknown,STORKETOWER,Parkpre Tange,U-Lock,No,1006
10,November,theft bicycle,Unknown,Unknown,SANTA ROSA,Schwinn,U-Lock,Yes,1008
10,March,theft bicycle,Unknown,Unknown,REC CEN,Cannondale,U-Lock,No,1020
10,August,theft bicycle,Unknown,Unknown,SANTA YNEZ,Kona,U-Lock,No,1025
10,April,theft bicycle,Wednesday,0800-1600,LOT 32,Specialized,Not Locked,No,60
10,September,theft bicycle,Wednesday,0800-1600,STORKEHOUSING,Unknown,Cable Lock,No,95
10,March,theft bicycle,Wednesday,1600-2400,MUSIC,3G,U-Lock,Yes,110
10,May,theft bicycle,Wednesday,0800-1600,KERR HALL,Specialized,U-Lock,No,130
10,January,theft bicycle,Wednesday,1600-2400,SANTA CATALINA,Micargi,U-Lock,Yes,145
10,January,theft bicycle,Wednesday,0800-1600,SANTA CRUZ HALL,3G,Cable Lock,No,160
10,May,theft bicycle,Wednesday,1600-2400,"FIGUEROA, LOS ROBLOS QUAD",Nirve,U-Lock,Yes,165
10,July,theft bicycle,Wednesday,0800-1600,CAMPBELL HALL,GMC,Cable Lock,No,170
10,April,theft bicycle,Wednesday,2400-0800,"CIENEGA, LAS ENCINAS",Firmstrong,U-Lock,No,170
10,January,theft bicycle,Wednesday,0800-1600,DAVIDSON LIBRARY,Ocean Pacific,Cable Lock,Yes,170
10,May,theft bicycle,Wednesday,0800-1600,STUDENT HEALTH,Unknown,Not listed,Yes,200
10,October,theft bicycle,Wednesday,1600-2400,GIRVETZ,Micard,U-Lock,Yes,212
10,July,theft bicycle,Wednesday,0800-1600,UCEN,Unknown,Cable Lock,Yes,218
10,February,theft bicycle,Wednesday,1600-2400,"CONDOR, LA PATERA",3D,U-Lock,Yes,290
10,November,theft bicycle,Wednesday,0800-1600,SAN CLEMENTE,Nishiki,Cable Lock,No,320
10,October,theft bicycle,Wednesday,0800-1600,ROBERTSON GYM,Townie,Cable Lock,Yes,350
10,March,theft bicycle,Wednesday,1600-2400,LIBRARY,Specialized,U-Lock,No,980
10,April,theft bicycle,Wednesday,0800-1600,THEATRE & DANCE,IRO,U-Lock,No,1220
10,April,theft bicycle,Wednesday,0800-1600,WEBB HALL,Specialized,Not Locked,No,4000
11,June,theft bicycle,Friday,0800-1600,PSB NORTH,Kobe,U-Lock,No,11
11,September,theft bicycle,Friday,1600-2400,RECCEN,Mongoose,Not Locked,Yes,150
11,November,theft bicycle,Friday,0800-1600,SAN NICOLAS RACKS,Trek,Not Locked,Yes,150
11,March,theft bicycle,Friday,0800-1600,BROIDA,Schwinn,U-Lock,Yes,170
11,October,theft bicycle,Friday,1600-2400,MUSIC,Micargi,Not listed,No,200
11,September,theft bicycle,Friday,0800-1600,RECCEN,Schwinn,U-Lock,No,200
11,June,theft bicycle,Friday,2400-0800,ARTS,Schwinn,U-Lock,Yes,220
11,January,theft bicycle,Friday,2400-0800,MANZANITA VILLAGE,Firmstrong,U-Lock,Yes,225
11,June,theft bicycle,Friday,Unknown,MUSIC,Schwinn,U-Lock,No,250
11,April,theft bicycle,Friday,1600-2400,CAMPBELL HALL,Greenline,Combo,Yes,250
11,July,theft bicycle,Friday,0800-1600,HSSB,PAKE,Combo,No,300
11,May,theft bicycle,Friday,0800-1600,LIFE SCIENCES BLDG.,Unknown,Cable Lock,No,320
11,June,theft bicycle,Friday,1600-2400,DAVIDSON LIBRARY,Raleigh,U-Lock,No,320
11,May,theft bicycle,Friday,0800-1600,SAASB,Specialized,Cable Lock,No,340
11,April,theft bicycle,Friday,2400-0800,DAVIDSON LIBRARY,Fuji,Not Locked,Yes,400
